store_id,transaction_id,timestamp,basket_value_inr
STORE_DEL_001,TXN_00603,2026-03-03T10:45:45Z,620.00
STORE_DEL_001,TXN_00604,2026-03-03T11:02:22Z,2450.00
STORE_DEL_001,TXN_00605,2026-03-03T11:18:10Z,830.00
STORE_DEL_001,TXN_00606,2026-03-03T11:35:33Z,1100.00
STORE_DEL_001,TXN_00607,2026-03-03T11:52:18Z,560.00
STORE_DEL_001,TXN_00608,2026-03-03T12:08:45Z,1920.00
STORE_DEL_001,TXN_00609,2026-03-03T12:25:30Z,740.00
STORE_DEL_001,TXN_00610,2026-03-03T12:42:22Z,1350.00
STORE_DEL_001,TXN_00611,2026-03-03T12:58:18Z,480.00
STORE_DEL_001,TXN_00612,2026-03-03T13:15:30Z,2100.00
STORE_DEL_001,TXN_00613,2026-03-03T13:32:45Z,890.00
STORE_DEL_001,TXN_00614,2026-03-03T13:48:10Z,1560.00
STORE_DEL_001,TXN_00615,2026-03-03T14:05:22Z,670.00
STORE_CHN_001,TXN_00701,2026-03-03T10:20:18Z,1080.00
STORE_CHN_001,TXN_00702,2026-03-03T10:38:30Z,2200.00
STORE_CHN_001,TXN_00703,2026-03-03T10:55:22Z,450.00
STORE_CHN_001,TXN_00704,2026-03-03T11:12:45Z,1650.00
STORE_CHN_001,TXN_00705,2026-03-03T11:28:18Z,780.00
STORE_CHN_001,TXN_00706,2026-03-03T11:45:33Z,920.00
STORE_CHN_001,TXN_00707,2026-03-03T12:02:10Z,1340.00
STORE_CHN_001,TXN_00708,2026-03-03T12:18:45Z,560.00
STORE_CHN_001,TXN_00709,2026-03-03T12:35:22Z,2800.00
STORE_CHN_001,TXN_00710,2026-03-03T12:52:18Z,680.00
STORE_CHN_001,TXN_00711,2026-03-03T13:08:30Z,1450.00
STORE_CHN_001,TXN_00712,2026-03-03T13:25:45Z,520.00
STORE_HYD_001,TXN_00801,2026-03-03T10:15:30Z,1350.00
STORE_HYD_001,TXN_00802,2026-03-03T10:32:18Z,680.00
STORE_HYD_001,TXN_00803,2026-03-03T10:48:45Z,2100.00
STORE_HYD_001,TXN_00804,2026-03-03T11:05:22Z,890.00
STORE_HYD_001,TXN_00805,2026-03-03T11:22:18Z,1560.00
STORE_HYD_001,TXN_00806,2026-03-03T11:38:30Z,420.00
STORE_HYD_001,TXN_00807,2026-03-03T11:55:45Z,1780.00
STORE_HYD_001,TXN_00808,2026-03-03T12:12:22Z,630.00
STORE_HYD_001,TXN_00809,2026-03-03T12:28:18Z,1920.00
STORE_HYD_001,TXN_00810,2026-03-03T12:45:30Z,750.00
STORE_HYD_001,TXN_00811,2026-03-03T13:02:45Z,1100.00
STORE_HYD_001,TXN_00812,2026-03-03T13:18:22Z,2500.00
STORE_HYD_001,TXN_00813,2026-03-03T13:35:18Z,480.00
STORE_HYD_001,TXN_00814,2026-03-03T13:52:30Z,1650.00
STORE_HYD_001,TXN_00815,2026-03-03T14:08:45Z,920.00
